E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.004939	0.0004112	0.008893	0.000484	2.12e-05	0.0002678	0	0.0002667	2.908e-05	0.0002681	3.022e-05	0.0002677
2	0.001434	0.00032	0.0002789	0.0002794	1.613e-05	0.0002676	2.637e-05	0.0002686	8.74e-05	0.0002724	5.438e-05	0.0002692
3	0.01049	0.0005096	0.003988	0.0003855	2.516e-05	0.0002677	2.617e-05	0.0002679	2.648e-05	0.000268	1.518e-05	0.0002674
4	0.01908	0.0006129	0.01226	0.0005344	3.931e-05	0.0002684	2.206e-05	0.0002673	0.0002384	0.0002754	3.771e-05	0.0002683
5	0.0199	0.0006172	0.01542	0.0005761	5.733e-05	0.00027	4.877e-05	0.0002685	0.0006435	0.0002933	0.0002947	0.0002778
6	0.01607	0.0005825	0.01331	0.0005503	8.831e-05	0.0002704	5.235e-05	0.0002687	0.0007855	0.0002975	0.0006067	0.00029
7	0.01373	0.0005487	0.01119	0.000521	0.000229	0.0002764	0.0001317	0.000272	0.0008553	0.0002998	0.0006949	0.0002925
8	0.01122	0.0005215	0.01003	0.0005024	0.0003583	0.0002833	0.000214	0.0002759	0.0009554	0.0003044	0.0008626	0.0003007
9	0.009832	0.0004986	0.009028	0.0004843	0.0004322	0.0002854	0.0003544	0.0002811	0.0007866	0.0003002	0.0005902	0.0002916
10	0.008236	0.000473	0.008238	0.0004727	0.0005137	0.0002871	0.0005339	0.0002878	0.0006477	0.0002934	0.0005507	0.0002884
11	0.008807	0.0004847	0.007543	0.0004591	0.0006384	0.0002941	0.0004469	0.0002838	0.000738	0.0002955	0.0005973	0.0002922
12	0.006891	0.0004481	0.007166	0.0004536	0.0006148	0.0002907	0.0006161	0.0002928	0.0006715	0.0002936	0.0005244	0.0002877
13	0.006983	0.0004513	0.007012	0.0004522	0.000718	0.0002957	0.0007042	0.0002949	0.0005975	0.0002936	0.0004253	0.0002852
14	0.006713	0.0004477	0.00693	0.0004507	0.0008382	0.0003017	0.0009705	0.0003074	0.0005073	0.0002897	0.0003466	0.0002815
15	0.006372	0.0004397	0.006341	0.0004381	0.0009472	0.0003046	0.0007276	0.0002962	0.0005067	0.0002884	0.000415	0.0002847
16	0.005778	0.0004275	0.006602	0.0004447	0.000891	0.0003006	0.0007405	0.0002977	0.0004699	0.0002864	0.0004172	0.0002853
17	0.005469	0.0004222	0.005589	0.0004235	0.0008798	0.000303	0.0008993	0.0003027	0.0004594	0.0002871	0.0003062	0.0002798
18	0.005434	0.0004206	0.005834	0.0004293	0.0009808	0.0003047	0.0008547	0.0003018	0.0003671	0.0002836	0.0003526	0.0002819
19	0.005529	0.0004251	0.005668	0.0004256	0.0009434	0.0003064	0.001116	0.0003103	0.0004847	0.0002877	0.000228	0.0002763
20	0.005503	0.0004234	0.00505	0.000413	0.0008335	0.0003009	0.000936	0.000304	0.0003904	0.0002837	0.0002462	0.000278
21	0.004969	0.0004118	0.00556	0.0004238	0.0009871	0.000308	0.001055	0.0003091	0.0001996	0.0002746	0.0001631	0.0002728
22	0.005176	0.0004153	0.005335	0.0004192	0.0008387	0.0003011	0.001075	0.0003098	0.0002525	0.0002776	0.0002718	0.0002788
23	0.005267	0.0004182	0.005359	0.0004203	0.0008761	0.0003025	0.001021	0.0003086	0.0002871	0.0002791	0.0002092	0.000276
24	0.005638	0.000425	0.005797	0.0004291	0.000852	0.0003011	0.001117	0.0003106	0.0002712	0.0002778	0.0002545	0.0002788
25	0.00581	0.0004301	0.006726	0.0004473	0.0007971	0.0002983	0.001086	0.0003107	0.0002856	0.0002812	0.0001829	0.0002741
26	0.006606	0.0004452	0.00695	0.0004513	0.0009576	0.000306	0.001134	0.0003121	0.0002704	0.0002788	0.0002072	0.000277
27	0.006313	0.0004398	0.007158	0.000454	0.000916	0.000303	0.001257	0.0003167	0.0002082	0.0002767	8.194e-05	0.0002698
28	0.006907	0.0004508	0.007928	0.0004686	0.0009408	0.0003043	0.0008911	0.0003035	0.0003228	0.0002807	0.000268	0.0002784
29	0.006159	0.0004356	0.007594	0.0004623	0.000789	0.0002973	0.001164	0.000314	0.0001963	0.0002754	0.00022	0.0002766
30	0.006608	0.0004439	0.008473	0.0004754	0.0008666	0.0003009	0.001202	0.0003142	0.0002698	0.0002795	0.0001849	0.0002739
31	0.00674	0.0004475	0.008267	0.0004745	0.0009746	0.0003064	0.001294	0.0003175	0.0002849	0.0002783	0.000192	0.0002754
32	0.006541	0.000443	0.007637	0.0004631	0.0008884	0.0003042	0.001338	0.0003191	0.0002539	0.0002774	0.0001414	0.0002732
33	0.006455	0.0004411	0.007826	0.0004665	0.0009814	0.0003049	0.001163	0.0003113	0.0001742	0.0002755	0.0001654	0.0002743
34	0.005637	0.0004245	0.007533	0.0004604	0.0008326	0.0003007	0.001172	0.0003113	0.0002462	0.0002766	0.0001594	0.0002733
35	0.00597	0.0004324	0.006834	0.0004476	0.001122	0.0003111	0.001145	0.0003132	0.0002658	0.0002801	0.0001394	0.000272
36	0.005553	0.0004239	0.007148	0.0004534	0.0009934	0.0003053	0.001291	0.0003161	0.0003065	0.0002804	0.0001512	0.0002732
37	0.005636	0.0004256	0.007038	0.0004518	0.001153	0.0003122	0.001183	0.0003137	0.0002247	0.0002766	0.0001598	0.0002731
38	0.005367	0.0004203	0.00662	0.0004455	0.001133	0.0003108	0.00145	0.0003215	0.0002297	0.0002771	8.712e-05	0.0002699
39	0.004801	0.0004086	0.006645	0.0004445	0.001166	0.0003122	0.001255	0.0003146	0.0002299	0.0002779	0.000173	0.0002746
40	0.004558	0.0004021	0.005817	0.0004302	0.001021	0.0003076	0.001187	0.0003122	0.000184	0.0002751	0.0001583	0.0002737
41	0.005214	0.0004179	0.005776	0.0004286	0.001079	0.0003096	0.001244	0.0003132	0.0002377	0.0002778	0.0001456	0.000273
42	0.004281	0.0003966	0.005585	0.0004247	0.0008833	0.0003012	0.001338	0.0003186	0.0001876	0.0002751	0.0001555	0.0002738
43	0.004545	0.0004035	0.005667	0.0004263	0.0008504	0.0003006	0.001563	0.0003265	0.0001389	0.0002733	0.0001342	0.0002726
44	0.004281	0.0003968	0.005329	0.0004197	0.0009895	0.0003058	0.00137	0.000319	0.0001784	0.0002748	4.542e-05	0.0002684
