E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.001272	0.0002945	0.001087	0.0002804	2.559e-06	0.0002637	2.04e-05	0.0002639	6.813e-05	0.0002686	1.766e-05	0.0002635
2	0.02038	0.0004057	0.003579	0.0003025	-1.069e-05	0.0002643	-1.343e-06	0.0002653	0.0003109	0.0002657	0.0001267	0.0002644
3	0.2405	0.0009147	0.07422	0.000544	1.157e-05	0.0002642	1.323e-06	0.0002698	0.001713	0.0002902	0.0003561	0.0002702
4	0.534	0.001235	0.4001	0.001072	9.358e-05	0.0002684	2.189e-05	0.0002652	0.01152	0.0003336	0.002549	0.0002882
5	0.7137	0.001356	0.6697	0.001296	0.0001327	0.0002666	0.0001107	0.0002665	0.02717	0.0003944	0.01398	0.0003342
6	0.8175	0.001402	0.7988	0.001374	0.001558	0.000285	0.001074	0.0002793	0.03483	0.0004162	0.02675	0.0003897
7	0.8835	0.001428	0.8738	0.001413	0.006142	0.0003086	0.004994	0.0003057	0.03667	0.0004195	0.03179	0.000409
8	0.9246	0.001442	0.9245	0.001434	0.01172	0.0003299	0.01108	0.0003243	0.03531	0.0004144	0.03165	0.0004014
9	0.9457	0.00145	0.9523	0.001451	0.01774	0.0003528	0.01732	0.0003526	0.03298	0.0004104	0.02824	0.000391
10	0.9524	0.00145	0.9699	0.001456	0.02218	0.0003693	0.02271	0.0003743	0.02996	0.0003984	0.02618	0.0003869
11	0.9428	0.001433	0.9688	0.001458	0.02586	0.0003824	0.02714	0.0003884	0.02622	0.000385	0.02292	0.000374
12	0.9252	0.001421	0.961	0.001444	0.0285	0.0003973	0.02993	0.0003968	0.02344	0.0003783	0.02033	0.0003652
13	0.9027	0.001403	0.9403	0.001429	0.03	0.0003991	0.03119	0.0004054	0.0209	0.0003697	0.01829	0.0003565
14	0.8729	0.00138	0.9146	0.001409	0.03053	0.0003984	0.03255	0.0004086	0.01835	0.000359	0.01594	0.0003528
15	0.8295	0.001347	0.8779	0.001382	0.02966	0.0004021	0.03242	0.0004101	0.01619	0.0003493	0.0144	0.0003422
16	0.7853	0.001317	0.8376	0.001354	0.02989	0.000401	0.03214	0.0004087	0.01426	0.0003461	0.01236	0.0003352
17	0.7358	0.001279	0.7878	0.001317	0.02816	0.0003957	0.03048	0.0004071	0.01254	0.0003383	0.01077	0.0003327
18	0.6817	0.001228	0.7366	0.001274	0.02673	0.0003903	0.02862	0.0003955	0.01059	0.0003265	0.009496	0.0003219
19	0.6192	0.001182	0.6817	0.001232	0.0252	0.0003895	0.02649	0.0003995	0.009374	0.0003237	0.00858	0.0003188
20	0.5579	0.001132	0.6234	0.001187	0.02217	0.0003818	0.02467	0.0003876	0.008006	0.0003186	0.007357	0.0003186
21	0.4976	0.001078	0.5625	0.001133	0.02056	0.0003743	0.02223	0.0003833	0.006888	0.0003208	0.00637	0.0003156
22	0.4361	0.001027	0.5018	0.001079	0.01778	0.0003747	0.01984	0.0003736	0.005927	0.0003166	0.0053	0.0003103
23	0.3737	0.0009658	0.4398	0.001029	0.01499	0.000361	0.01717	0.0003703	0.005129	0.0003105	0.004447	0.0003083
24	0.3136	0.0009084	0.3813	0.0009769	0.01256	0.000356	0.01445	0.0003612	0.004178	0.0003089	0.003851	0.0003038
25	0.2554	0.0008453	0.3223	0.0009189	0.0101	0.0003504	0.01194	0.0003595	0.003436	0.0003032	0.003146	0.0003009
26	0.2027	0.000792	0.2676	0.0008624	0.008257	0.0003436	0.009366	0.0003584	0.002654	0.0003001	0.002452	0.0002954
27	0.1552	0.0007367	0.2188	0.0008065	0.005918	0.0003413	0.007553	0.0003438	0.001996	0.0002979	0.001995	0.0002961
28	0.1137	0.0006661	0.1722	0.0007495	0.004679	0.0003335	0.005556	0.0003389	0.00139	0.0002981	0.001459	0.0002879
29	0.07733	0.0006256	0.1329	0.0007069	0.003072	0.0003326	0.003672	0.0003436	0.001229	0.0002931	0.001211	0.0002933
30	0.05013	0.0005607	0.09954	0.0006543	0.002161	0.0003219	0.002905	0.0003358	0.001103	0.0002913	0.0007323	0.0002829
31	0.03049	0.0005249	0.07158	0.0006126	0.001176	0.0003214	0.001419	0.0003348	0.0006325	0.0002881	0.000606	0.0002819
32	0.01722	0.0004908	0.05039	0.0005765	0.0009749	0.0003163	0.0009685	0.0003349	0.0004217	0.0002863	0.0004101	0.0002809
33	0.009464	0.000466	0.03438	0.0005429	0.0005825	0.0003114	0.0006156	0.0003347	0.0003585	0.0002863	0.0003393	0.0002785
34	0.005586	0.0004511	0.02257	0.0005088	0.0004482	0.0003078	0.0005623	0.0003304	0.0002593	0.0002825	0.0002579	0.0002783
35	0.002802	0.0004514	0.0149	0.0004788	0.000412	0.0003114	0.0005681	0.0003282	0.0001414	0.0002863	0.0001262	0.0002763
36	0.002419	0.0004375	0.008406	0.0004706	0.0004565	0.0003046	0.0003379	0.0003341	0.0001849	0.0002754	4.274e-05	0.0002772
37	0.001931	0.0004378	0.00548	0.0004529	0.0001808	0.0003143	0.0005432	0.0003292	0.0001066	0.0002738	3.326e-05	0.0002745
38	0.001684	0.0004359	0.003459	0.0004425	0.000357	0.0003143	0.0006142	0.0003285	0.0001143	0.0002813	-4.054e-06	0.0002748
39	0.001659	0.0004386	0.001552	0.0004448	0.0003105	0.0003168	0.0002024	0.000337	0.0001724	0.0002732	6.459e-05	0.0002759
40	0.001577	0.0004314	0.001791	0.0004314	0.0002176	0.0003192	0.000409	0.0003298	-1.248e-05	0.0002752	1.032e-05	0.000273
41	0.001431	0.0004284	0.001057	0.000435	9.909e-05	0.000314	0.0002966	0.0003305	8.995e-05	0.0002829	0.0001052	0.0002719
42	0.001809	0.0004177	0.001296	0.0004275	0.0005127	0.0003087	0.0006315	0.0003281	0.0001725	0.000279	-5.318e-07	0.0002715
43	0.001955	0.000414	0.0007083	0.0004262	0.0003723	0.0003035	0.0004477	0.0003301	4.987e-05	0.0002737	-1.34e-05	0.000278
