Noct	 Runs 	 A 
0	13905-13937	0.051468	0.00149403
1	13939-13964	0.0513927	0.00177248
2	14077-14100	0.0476597	0.00128937
3	14127-14151	0.0463002	0.00125594
4	14152-14180	0.049068	0.00123206
5	14182-14205	0.0480458	0.00146064
6	14206-14237	0.0456149	0.00130677
7	14238-14261	0.0476594	0.00114336
8	14356-14380	0.0482483	0.00150224
9	14397-14421	0.0496622	0.00114633
10	14432-14467	0.0485115	0.00095989
11	14535-14562	0.0485578	0.00114563
12	14563-14591	0.0461469	0.00107011
13	14592-14617	0.0472	0.00111509
14	14618-14642	0.0485463	0.0010501
15	14643-14667	0.047581	0.00130144
16	14688-14717	0.0474385	0.00109236
17	14718-14758	0.0490177	0.0012357
18	14759-14782	0.0500306	0.00170517
19	14888-14911	0.0512914	0.00214268
20	14912-14967	0.0468383	0.00184453
21	14968-14994	0.0475245	0.00152051
22	15084-15126	0.0486352	0.00355522
23	15127-15150	0.0460174	0.00271035
24	15172-15211	0.048943	0.00181693
25	15234-15257	0.0450226	0.00170198
26	15258-15283	0.0473263	0.00171053
27	15285-15296	0.0437895	0.00242847
28	15309-15332	0.05586	0.00249054
29	15333-15356	0.0511207	0.00142744
30	15448-15477	0.0503462	0.00180536
31	15488-15511	0.046412	0.00179322
32	15512-15539	0.0511439	0.00184895
33	15540-15563	0.0514479	0.0018049
34	15564-15590	0.0478823	0.0020213
35	15591-15614	0.04645	0.00190834
36	15615-15639	0.0467893	0.0016084
37	15667-15690	0.0490164	0.00151849
38	15691-15714	0.0482065	0.00157761
39	15715-15739	0.0501558	0.00162157
40	15740-15763	0.049171	0.00166543
41	15764-15789	0.0495621	0.00159411
42	15790-15817	0.0478426	0.00158744
43	15818-15841	0.0501099	0.00159166
44	15842-15865	0.0503029	0.00183953
45	15867-15890	0.0487719	0.00167663
46	15891-15915	0.0490717	0.00170011
47	15943-15966	0.0515772	0.0020542
