Noct	 Runs 	 A quartet A 		 A quartet B
0	13905-13937	0.0522164	0.00210051	-0.0513364	0.00200492
1	13939-13964	0.0512902	0.00188649	0	0
2	14077-14100	0.0468901	0.00174093	-0.0491696	0.001931
3	14127-14151	0.0465377	0.00172943	-0.0482265	0.00186645
4	14152-14180	0.0486979	0.00175822	-0.0516728	0.00194716
5	14182-14205	0.0507583	0.00223496	-0.0487016	0.00216241
6	14206-14237	0.0488053	0.00219644	-0.0467654	0.00170355
7	14238-14261	0.0490711	0.00174892	-0.0466998	0.00168673
8	14356-14380	0.0476769	0.00220471	-0.0515688	0.00231422
9	14397-14421	0.0519967	0.00200262	-0.0492939	0.00158087
10	14432-14467	0.0499049	0.00142296	-0.0479214	0.00146259
11	14535-14562	0.049029	0.00163215	-0.0517177	0.00176405
12	14563-14591	0.0468335	0.00164864	-0.0475366	0.0015445
13	14592-14617	0.0497761	0.00164661	-0.0484417	0.00171176
14	14618-14642	0.0476748	0.00158421	-0.0512182	0.00158063
15	14643-14667	0.0477978	0.00210698	-0.0488151	0.00185364
16	14688-14717	0.0464788	0.00165831	-0.0495946	0.00163651
17	14718-14758	0.0477117	0.00173456	-0.0516063	0.00181512
18	14759-14782	0.0484488	0.00303535	-0.0539376	0.00231104
19	14888-14911	0.0517729	0.00333709	-0.0459962	0.00323686
20	14912-14967	0.0486987	0.00231029	-0.0490651	0.00357985
21	14968-14994	0.0482673	0.00231498	-0.0494067	0.00224638
22	15084-15126	0	0	-0.046266	0.00345015
23	15127-15150	0.0490708	0.00392919	-0.0413885	0.00426748
24	15172-15211	0.0500159	0.00280746	-0.0510458	0.00258726
25	15234-15257	0.0472795	0.00260328	-0.0456665	0.00255093
26	15258-15283	0.0492985	0.00259412	-0.0483286	0.00259782
27	15285-15296	0.046274	0.00259824	0	0
28	15309-15332	0.0526006	0.00265686	-0.0560243	0.00266528
29	15333-15356	0.0519384	0.00218284	-0.0527618	0.0021451
30	15448-15477	0.0507035	0.00272173	-0.0515098	0.00270118
31	15488-15511	0.0517419	0.00271246	-0.0446072	0.00271353
32	15512-15539	0.0496343	0.00277149	-0.0545145	0.00281878
33	15540-15563	0.0507181	0.00271455	-0.0545345	0.0027377
34	15564-15590	0.0511297	0.00279382	-0.0502791	0.00271725
35	15591-15614	0.0480531	0.00284578	-0.0453195	0.00279706
36	15615-15639	0.0492018	0.0024194	-0.0483443	0.00245096
37	15667-15690	0.0494592	0.00228496	-0.0506796	0.00230607
38	15691-15714	0.0478233	0.00239558	-0.0521768	0.00235797
39	15715-15739	0.0516128	0.00243451	-0.0493908	0.00245036
40	15740-15763	0.0501187	0.00239809	-0.049327	0.00267509
41	15764-15789	0.0518756	0.00238518	-0.0480474	0.00243526
42	15790-15817	0.0485615	0.0024003	-0.047073	0.0023885
43	15818-15841	0.051782	0.00243118	-0.0502835	0.00238334
44	15842-15865	0.0508556	0.00252596	-0.0490659	0.0025199
45	15867-15890	0.0504594	0.00254225	-0.0528286	0.00251627
46	15891-15915	0.0502679	0.0025797	-0.0476855	0.00255954
47	15943-15966	0.0456711	0.00302385	-0.0538206	0.00293506
