Noct	 Runs 	 A sup A1 		 A super A2 		 Asuper B1 		 Asuper B2
0	13905-13937	0.0521824	0.0031476	0.0524171	0.00283832	0.0538333	0.00307047	0.0495118	0.00265673
1	13939-13964	0.0505336	0.002735	0.0522474	0.00263124	0	0	0	0
2	14077-14100	0.0484531	0.00269983	0.0458623	0.00230331	0.0512297	0.00271651	0.0470919	0.00274796
3	14127-14151	0.0467206	0.00242461	0.0461081	0.00249577	0.0474354	0.00264992	0.0488601	0.00263133
4	14152-14180	0.0458887	0.00245211	0.0512154	0.00255743	0.0521139	0.0027535	0.0511723	0.00277856
5	14182-14205	0.050481	0.00314751	0.0509924	0.00321984	0.0476818	0.00292769	0.0500743	0.00319923
6	14206-14237	0.0518801	0.00306563	0.045567	0.00318308	0.0448508	0.00240258	0.0486427	0.00241774
7	14238-14261	0.0483078	0.00247213	0.0498382	0.00250336	0.0477049	0.00236316	0.0458761	0.00240786
8	14356-14380	0.0504829	0.00333528	0.0443454	0.00302731	0.055722	0.00332576	0.0474178	0.00322456
9	14397-14421	0.0516795	0.00243229	0.0515459	0.00554105	0.0474509	0.00219088	0.0508084	0.00228079
10	14432-14467	0.049487	0.00199519	0.0505048	0.00205119	0.0480364	0.00202155	0.047637	0.00212576
11	14535-14562	0.0468129	0.00219696	0.0514045	0.00245389	0.0506565	0.00252235	0.0526127	0.00246578
12	14563-14591	0.0453592	0.0022981	0.0483517	0.00239504	0.0465907	0.00223985	0.0483752	0.00213098
13	14592-14617	0.0528575	0.0022073	0.0467063	0.00260558	0.0508185	0.00253319	0.0468892	0.00230602
14	14618-14642	0.0477365	0.00222921	0.0472717	0.00228165	0.0526289	0.00222415	0.0498201	0.0022479
15	14643-14667	0.049357	0.00258669	0.0449077	0.00371228	0.0493749	0.002499	0.0489046	0.00277909
16	14688-14717	0.0467794	0.00244287	0.0456579	0.00227256	0.0508696	0.0023214	0.0483888	0.00231053
17	14718-14758	0.0488746	0.00244502	0.046347	0.0024977	0.0521261	0.00247664	0.0511392	0.00267346
18	14759-14782	0.0463095	0.00415672	0.0495105	0.00462691	0.0542916	0.0031326	0.0539301	0.00341905
19	14888-14911	0.0524184	0.00466547	0.0510577	0.00482735	0.0500535	0.00441009	0.0412192	0.00478217
20	14912-14967	0.0479666	0.00322996	0.0493483	0.00334051	0.0470449	0.00515846	0.0509364	0.00498363
21	14968-14994	0.0497714	0.00324567	0.0468846	0.0033348	0.0516652	0.00322068	0.0477765	0.00314612
22	15084-15126	0	0	0	0	0.04351	0.00466632	0.0496352	0.00517798
23	15127-15150	0.0438682	0.005613	0.0545188	0.00555287	0.0494558	0.00615264	0.0340497	0.00592868
24	15172-15211	0.0512432	0.00388741	0.0495548	0.00410306	0.0545981	0.00359602	0.0481021	0.00372511
25	15234-15257	0.0483888	0.00366082	0.0461614	0.00375385	0.0504278	0.00357696	0.0408506	0.00363962
26	15258-15283	0.0467853	0.0036887	0.0517533	0.00369234	0.0431912	0.00363249	0.0537946	0.00371845
27	15285-15296	0.0462493	0.00370179	0.0463317	0.00369238	0	0	0	0
28	15309-15332	0.0525171	0.00390401	0.0524971	0.00366113	0.0580065	0.00368414	0.0536514	0.00387254
29	15333-15356	0.0508045	0.00301963	0.0533814	0.00319676	0.0565873	0.00303625	0.0490633	0.00303343
30	15448-15477	0.0488015	0.00379867	0.0526956	0.00394236	0.0447956	0.00379055	0.058233	0.00385381
31	15488-15511	0.0480864	0.00387785	0.0553273	0.00384365	0.0462903	0.00388798	0.0429605	0.00379141
32	15512-15539	0.0452715	0.00418047	0.0537751	0.00377158	0.0549877	0.00380907	0.0544255	0.00420976
33	15540-15563	0.0510712	0.00383358	0.0503828	0.00389338	0.0530301	0.00381879	0.0560767	0.00392927
34	15564-15590	0.0565649	0.0040853	0.0459758	0.00387774	0.0524753	0.00384249	0.0479559	0.00385051
35	15591-15614	0.048349	0.00397511	0.0475229	0.00411954	0.0466171	0.00396525	0.0440653	0.0039507
36	15615-15639	0.0468792	0.00356117	0.0505226	0.00335197	0.0505748	0.00332996	0.0461665	0.00362243
37	15667-15690	0.0504786	0.0032688	0.0485982	0.00322827	0.0511029	0.00326956	0.0496198	0.00325777
38	15691-15714	0.0479115	0.00342572	0.0477094	0.00338171	0.0564966	0.00335033	0.0478814	0.00332494
39	15715-15739	0.0518733	0.00339509	0.0511118	0.00354178	0.0469893	0.00348179	0.0515201	0.00345473
40	15740-15763	0.0497723	0.00334605	0.0506145	0.00347095	0.0466039	0.00402215	0.0509106	0.00354036
41	15764-15789	0.0510731	0.00335356	0.0529757	0.00342825	0.0437502	0.00338284	0.053183	0.00351399
42	15790-15817	0.0512302	0.00339834	0.0459512	0.00342927	0.0484906	0.00342926	0.0453449	0.00333088
43	15818-15841	0.0520312	0.00347878	0.0514983	0.00342433	0.0508234	0.00335468	0.0496105	0.00339302
44	15842-15865	0.050588	0.00361702	0.051271	0.00356116	0.0474443	0.00356498	0.0506548	0.00356374
45	15867-15890	0.0524869	0.00364544	0.0483787	0.003576	0.0550685	0.00356192	0.0505663	0.0035574
46	15891-15915	0.0512752	0.00369015	0.0491057	0.0036398	0.0500632	0.0036031	0.0451261	0.00364296
47	15943-15966	0.0467488	0.00418747	0.0447747	0.00441586	0.0597418	0.00413361	0.0479329	0.00417933
