E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.0002421	0.0002515	3.851e-05	0.0002433	0	0.000242	6.348e-06	0.000242	1.667e-05	0.0002428	0	0.0002417
2	0.001833	0.0003168	0.0002097	0.0002499	1.322e-05	0.0002425	2.936e-05	0.0002432	0	0.000242	0	0.0002417
3	0.0142	0.0005367	0.003125	0.000351	6.937e-06	0.0002423	8.198e-05	0.0002557	0.0001023	0.0002461	1.987e-05	0.0002426
4	0.02285	0.0006202	0.01398	0.0005343	1.226e-05	0.0002425	3.433e-05	0.0002428	0.000456	0.0002696	8.363e-05	0.0002443
5	0.02051	0.0006054	0.01566	0.0005556	3.811e-05	0.0002438	5.013e-05	0.0002433	0.0009074	0.0002878	0.0002441	0.0002498
6	0.01654	0.0005607	0.01331	0.0005269	5.951e-05	0.0002442	8.998e-05	0.0002526	0.001001	0.0002931	0.0008096	0.0002828
7	0.01294	0.0005175	0.01152	0.0005032	0.0001462	0.0002471	0.0001689	0.0002553	0.0008676	0.0002848	0.0006926	0.0002649
8	0.01048	0.000485	0.009993	0.0004777	0.0002519	0.00025	0.0002716	0.0002625	0.0008286	0.0002838	0.0007067	0.0002821
9	0.009382	0.0004696	0.009039	0.0004614	0.0004249	0.0002685	0.0004552	0.0002695	0.0009165	0.0002893	0.0005675	0.0002691
10	0.008664	0.0004556	0.008346	0.0004524	0.0005329	0.0002747	0.0005985	0.0002744	0.0007554	0.0002845	0.000684	0.0002814
11	0.007798	0.0004434	0.009169	0.0004656	0.0006003	0.0002746	0.0006471	0.0002759	0.00064	0.0002768	0.0006452	0.000282
12	0.007499	0.0004388	0.007594	0.0004383	0.0007314	0.0002752	0.0006433	0.0002751	0.0006311	0.0002762	0.0005826	0.0002777
13	0.006837	0.0004237	0.007369	0.0004343	0.0007458	0.00028	0.0008366	0.0002817	0.0005463	0.0002736	0.0003406	0.000254
14	0.006785	0.0004239	0.006805	0.0004243	0.0006877	0.0002787	0.0008806	0.000288	0.0005893	0.0002786	0.000564	0.0002752
15	0.006159	0.0004119	0.006894	0.0004267	0.0008792	0.0002869	0.0009613	0.0002926	0.0004683	0.0002732	0.0003953	0.0002694
16	0.006164	0.0004163	0.006496	0.0004175	0.0007621	0.0002787	0.000881	0.0002856	0.0004651	0.0002699	0.000297	0.0002529
17	0.005885	0.0004121	0.006397	0.0004161	0.0007894	0.0002807	0.001057	0.0002941	0.0003886	0.000263	0.0003528	0.0002549
18	0.004918	0.0003925	0.005716	0.0004037	0.0005845	0.0002621	0.0008597	0.0002908	0.0003469	0.0002659	0.000286	0.00026
19	0.005071	0.0003901	0.005618	0.0004034	0.0008745	0.0002876	0.00112	0.0002976	0.0003269	0.0002647	0.0001765	0.0002481
20	0.005423	0.0003984	0.005924	0.0004082	0.0007564	0.0002747	0.0008625	0.000285	0.0002771	0.0002596	0.0002941	0.0002604
21	0.005524	0.0004018	0.005396	0.0004004	0.0008064	0.0002863	0.00103	0.0002961	0.0004554	0.0002751	0.0003203	0.0002651
22	0.005747	0.0004063	0.004995	0.0003959	0.001052	0.0002942	0.0008243	0.0002843	0.0003871	0.0002677	0.0002498	0.0002585
23	0.005525	0.0004026	0.0057	0.0004039	0.0008942	0.0002904	0.00105	0.0002948	0.0002007	0.0002492	0.0003075	0.0002655
24	0.006045	0.0004124	0.005604	0.0004076	0.001029	0.0002954	0.0009768	0.0002931	0.0002855	0.00026	0.0001883	0.0002561
25	0.006334	0.0004195	0.006083	0.0004117	0.0009702	0.0002886	0.001152	0.0002972	0.0002081	0.0002572	0.000203	0.0002602
26	0.006748	0.0004253	0.006262	0.0004152	0.001029	0.0002936	0.001285	0.0003009	0.0001965	0.0002496	0.0001665	0.0002589
27	0.006951	0.0004276	0.006406	0.0004202	0.00108	0.0002917	0.001086	0.0002984	0.0002804	0.0002599	0.0002264	0.0002583
28	0.006339	0.0004174	0.006314	0.0004169	0.0008761	0.0002842	0.001084	0.0002948	0.0003973	0.0002714	0.0001382	0.0002469
29	0.00752	0.0004404	0.007118	0.0004314	0.001004	0.0002899	0.001335	0.0003063	0.0002484	0.0002597	0.0002257	0.0002588
30	0.006458	0.0004213	0.007029	0.0004284	0.0008464	0.0002842	0.001198	0.000301	0.0002329	0.0002581	0.000184	0.0002564
31	0.006312	0.0004159	0.007088	0.0004305	0.0008207	0.000269	0.001297	0.0003022	0.0002598	0.0002648	0.0001223	0.000246
32	0.006199	0.0004164	0.00706	0.0004288	0.0009089	0.0002888	0.001418	0.0003098	0.0002843	0.0002639	0.0001603	0.0002555
33	0.005639	0.0004095	0.006958	0.0004282	0.0008011	0.0002833	0.00144	0.0003099	0.0002566	0.0002599	0.0001479	0.000255
34	0.005641	0.0004039	0.006629	0.0004251	0.0008022	0.0002811	0.001342	0.000307	0.0002504	0.0002624	0.0001309	0.0002541
35	0.005727	0.0004053	0.005748	0.0004038	0.0008342	0.0002864	0.001287	0.0003022	0.0003017	0.0002645	0.0001647	0.0002555
36	0.005206	0.0004001	0.00637	0.000421	0.0007935	0.0002797	0.001482	0.0003118	0.0001262	0.0002467	0.0001856	0.0002567
37	0.005308	0.0004031	0.005739	0.0004069	0.000975	0.000289	0.001328	0.0003045	0.000169	0.0002488	0.0001833	0.0002562
38	0.005317	0.000399	0.005489	0.0004003	0.0009835	0.0002921	0.001242	0.0003023	0.0002223	0.0002502	0.0001836	0.0002599
39	0.005315	0.0004032	0.005845	0.0004078	0.0009903	0.0002895	0.001569	0.0003135	0.000142	0.0002543	0.0001638	0.0002555
40	0.004949	0.0003943	0.004997	0.0003951	0.001095	0.0002951	0.001338	0.000305	0.0002233	0.0002502	0.0001728	0.0002553
41	0.004869	0.0003929	0.005425	0.0003993	0.0009923	0.0002837	0.001457	0.0003075	0.000272	0.0002665	8.546e-05	0.0002451
42	0.004369	0.0003837	0.004798	0.0003925	0.0007629	0.000281	0.001241	0.0003037	0.0001726	0.0002485	0.0001424	0.0002475
43	0.004074	0.0003764	0.005001	0.0003911	0.0007947	0.0002752	0.001361	0.0003062	0.0001767	0.0002491	0.0002093	0.0002607
44	0.003789	0.0003706	0.00465	0.0003903	0.0009859	0.0002913	0.001354	0.000307	0.0001447	0.0002548	0.0001529	0.0002554
45	0.003436	0.0003613	0.003898	0.000366	0.0008125	0.0002773	0.001398	0.0003089	0.0002048	0.0002609	5.757e-05	0.0002441
46	0.003641	0.0003674	0.00441	0.0003833	0.0008446	0.000286	0.001259	0.0003011	0.0001817	0.0002496	4.808e-05	0.0002434
47	0.003454	0.0003627	0.003866	0.0003657	0.0008642	0.0002891	0.001227	0.000302	5.197e-05	0.0002441	6.786e-05	0.0002441
48	0.003998	0.0003751	0.003625	0.0003653	0.0009588	0.0002826	0.001247	0.0003012	0.0001558	0.0002556	0.0001062	0.0002537
49	0.003327	0.0003587	0.004049	0.000377	0.0009337	0.0002841	0.001273	0.000302	0.0001037	0.0002458	8.831e-05	0.0002453
50	0.003426	0.0003603	0.003286	0.0003586	0.001051	0.0002927	0.001156	0.0003009	6.952e-05	0.0002446	0.0001263	0.0002573
51	0.002951	0.00035	0.003395	0.0003623	0.0009182	0.0002903	0.001051	0.0002941	5.526e-05	0.0002439	2.666e-05	0.000243
52	0.002373	0.0003326	0.00327	0.0003585	0.0004768	0.0002576	0.001019	0.0002959	6.861e-05	0.0002448	2.808e-05	0.0002425
53	0.002635	0.0003413	0.002687	0.0003442	0.000827	0.000284	0.0008702	0.0002893	0.0001292	0.0002538	1.535e-05	0.0002423
54	0.002393	0.000336	0.002659	0.0003437	0.0006978	0.0002777	0.0009583	0.0002927	1.782e-05	0.0002425	6.413e-05	0.0002516
55	0.002183	0.0003305	0.002867	0.0003476	0.0007817	0.0002852	0.0007427	0.000279	3.15e-05	0.0002431	3.7e-05	0.0002432
56	0.002318	0.0003345	0.002735	0.0003407	0.0007662	0.0002824	0.0009887	0.0002942	2.448e-05	0.0002429	7.119e-05	0.0002518
57	0.002081	0.0003264	0.002717	0.0003454	0.0006924	0.0002783	0.001014	0.0002932	7.603e-05	0.0002521	3.039e-05	0.0002431
58	0.001681	0.000312	0.002462	0.0003361	0.0005102	0.0002716	0.0006741	0.000279	3.311e-05	0.0002433	1.765e-05	0.0002424
59	0.001848	0.0003191	0.002248	0.0003298	0.0005089	0.0002679	0.0007218	0.00028	3.984e-05	0.0002437	4.24e-05	0.0002434
60	0.001784	0.0003171	0.002069	0.0003262	0.0005646	0.000272	0.0007575	0.0002849	2.354e-05	0.0002428	2.423e-05	0.0002425
61	0.001829	0.0003171	0.002131	0.0003229	0.0005527	0.0002692	0.0007258	0.0002806	6.018e-05	0.0002447	1.31e-05	0.0002422
62	0.001753	0.0003193	0.002218	0.0003321	0.0005584	0.0002742	0.0006703	0.0002735	2.721e-05	0.0002429	3.829e-05	0.0002437
63	0.001566	0.0003113	0.001959	0.0003215	0.0005339	0.0002683	0.0006894	0.00028	7.622e-05	0.0002526	6.029e-05	0.0002441
64	0.001622	0.0003116	0.002245	0.0003321	0.0005983	0.0002771	0.0007926	0.0002858	7.547e-05	0.0002446	0.0001905	0.0002632
65	0.001545	0.0003062	0.001871	0.0003208	0.0006955	0.0002799	0.0006114	0.0002762	6.996e-06	0.0002421	2.118e-05	0.0002424
66	0.001649	0.0003157	0.001871	0.0003221	0.0005745	0.0002745	0.000607	0.000277	0	0.000242	0	0.0002417
67	0.001647	0.000311	0.001616	0.0003136	0.0006104	0.0002751	0.0005851	0.0002778	0	0.000242	0	0.0002417
68	0.001353	0.0003038	0.001737	0.0003146	0.000435	0.0002576	0.0007028	0.00028	0	0.000242	0	0.0002417
69	0.001414	0.0003024	0.001676	0.0003122	0.0004501	0.0002573	0.0006218	0.0002716	0	0.000242	0	0.0002417
70	0.001357	0.000307	0.001503	0.0003071	0.000589	0.0002798	0.0005296	0.0002689	0	0.000242	0	0.0002417
71	0.001182	0.0002952	0.001441	0.0003066	0.000418	0.0002644	0.0005116	0.0002751	0	0.000242	0	0.0002417
