E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.001595	0.0004294	0.000792	0.0005018	-1.085e-05	0.0002706	2.393e-05	0.0002696	0.000138	0.0002727	7.385e-05	0.0002715
2	0.01335	0.0003674	0.002655	0.0002961	3.659e-06	0.0002705	2.005e-06	0.0002713	0.0002057	0.000277	9.856e-05	0.0002732
3	0.1351	0.0007424	0.06171	0.0005326	1.157e-05	0.0002708	2.007e-05	0.0002711	0.0006403	0.0002754	0.0002657	0.0002721
4	0.3114	0.00101	0.2524	0.0009017	5.298e-05	0.0002721	6.141e-05	0.0002708	0.005061	0.000305	0.0008797	0.0002764
5	0.4386	0.001122	0.391	0.001057	0.0003422	0.0002755	0.0003141	0.0002741	0.01584	0.0003493	0.005948	0.0003066
6	0.5259	0.00117	0.4731	0.001106	0.001908	0.0002862	0.001221	0.0002799	0.02234	0.0003741	0.01499	0.0003455
7	0.5831	0.001196	0.5238	0.001133	0.004461	0.000303	0.003683	0.0002961	0.02419	0.0003825	0.01964	0.0003646
8	0.6181	0.001209	0.5563	0.001152	0.008421	0.0003174	0.006882	0.0003094	0.02323	0.000383	0.02057	0.0003729
9	0.6454	0.001215	0.5729	0.001153	0.01207	0.000331	0.01025	0.0003223	0.02181	0.0003732	0.01948	0.0003592
10	0.6532	0.001213	0.5827	0.001158	0.0148	0.0003435	0.0135	0.0003407	0.01981	0.0003636	0.01729	0.0003529
11	0.6559	0.001215	0.5854	0.001155	0.01748	0.0003543	0.0159	0.000345	0.01765	0.0003623	0.01571	0.0003484
12	0.6519	0.001202	0.5785	0.001148	0.01959	0.0003622	0.01752	0.0003551	0.01589	0.0003534	0.01383	0.0003414
13	0.6399	0.001193	0.57	0.001135	0.0208	0.0003681	0.01921	0.0003621	0.01395	0.0003444	0.01218	0.0003325
14	0.6197	0.001172	0.5497	0.001118	0.02168	0.0003731	0.01948	0.0003717	0.01254	0.0003363	0.01123	0.0003271
15	0.594	0.001152	0.5254	0.001095	0.02126	0.0003764	0.01969	0.0003658	0.011	0.0003324	0.009649	0.0003242
16	0.562	0.001121	0.5001	0.001074	0.02093	0.0003753	0.01961	0.0003643	0.009716	0.0003281	0.008384	0.0003207
17	0.532	0.001092	0.4734	0.001045	0.02002	0.0003699	0.01873	0.0003686	0.008259	0.0003224	0.007663	0.0003152
18	0.4939	0.00106	0.4388	0.001014	0.01891	0.0003719	0.01768	0.0003639	0.007543	0.0003177	0.006655	0.0003146
19	0.4535	0.001021	0.4022	0.0009769	0.01791	0.0003667	0.01658	0.0003681	0.006791	0.0003204	0.00583	0.0003073
20	0.4124	0.0009879	0.3681	0.0009398	0.01634	0.0003588	0.01503	0.0003581	0.00576	0.000314	0.005004	0.0003046
21	0.3696	0.0009394	0.3269	0.0009032	0.01436	0.0003581	0.01376	0.0003578	0.005216	0.0003044	0.004648	0.0003012
