Noct	 Runs 	 A 
0	13905-13937	0.0515419	0.001451
1	13939-13964	0.0512902	0.00188649
2	14077-14100	0.0478314	0.00129263
3	14127-14151	0.0476362	0.00127239
4	14152-14180	0.0500964	0.00130906
5	14182-14205	0.0497816	0.00155489
6	14206-14237	0.0471526	0.00138617
7	14238-14261	0.0479155	0.00121493
8	14356-14380	0.0496998	0.00158914
9	14397-14421	0.0504991	0.00123246
10	14432-14467	0.0492063	0.001021
11	14535-14562	0.0502106	0.00119683
12	14563-14591	0.047081	0.00112726
13	14592-14617	0.0491759	0.00118639
14	14618-14642	0.0494573	0.00111895
15	14643-14667	0.048382	0.00138865
16	14688-14717	0.0480621	0.00116478
17	14718-14758	0.0495336	0.00125482
18	14759-14782	0.05206	0.00181979
19	14888-14911	0.0490168	0.00232607
20	14912-14967	0.0489193	0.0019452
21	14968-14994	0.0488991	0.00161428
22	15084-15126	0.046266	0.00345015
23	15127-15150	0.0455209	0.00289431
24	15172-15211	0.0506785	0.00190412
25	15234-15257	0.0464864	0.0018228
26	15258-15283	0.0488393	0.00183565
27	15285-15296	0.046274	0.00259824
28	15309-15332	0.0546048	0.00188381
29	15333-15356	0.0522913	0.00153023
30	15448-15477	0.0510397	0.00191734
31	15488-15511	0.048158	0.00191834
32	15512-15539	0.0520696	0.00197574
33	15540-15563	0.0525782	0.00192748
34	15564-15590	0.0507766	0.00194815
35	15591-15614	0.0466374	0.0019945
36	15615-15639	0.0488157	0.00171851
37	15667-15690	0.0500603	0.00162317
38	15691-15714	0.0500216	0.00168057
39	15715-15739	0.0504924	0.00172694
40	15740-15763	0.0499075	0.00178463
41	15764-15789	0.0499577	0.00170412
42	15790-15817	0.0479159	0.00169316
43	15818-15841	0.0509328	0.00170206
44	15842-15865	0.0500151	0.0017839
45	15867-15890	0.0518086	0.001788
46	15891-15915	0.0489512	0.00181693
47	15943-15966	0.0497302	0.00210599
