run_number	sensor_name	sensors_sensor_id	value
15175	ADCE1Beta	5	00000317.878
15175	ADCE1LED	10	00000317.878
15175	ADCE2Beta	6	00000363.302
15175	ADCE2LED	11	00000363.302
15175	ADCE3Beta	7	00000495.291
15175	ADCE3LED	12	00000495.291
15175	ADCE4Beta	8	00000273.491
15175	ADCE4LED	13	00000273.491
15175	ADCW1Beta	15	00000347.424
15175	ADCW1LED	20	00000347.424
15175	ADCW2Beta	16	00000348.815
15175	ADCW2LED	21	00000348.815
15175	ADCW3Beta	17	000000390.83
15175	ADCW3LED	22	000000390.83
15175	ADCW4Beta	18	000000364.65
15175	ADCW4LED	23	000000364.65
15175	ADCBackingE	29	00000201.496
15175	ADCBackingW	30	00000219.495
15175	ADCRefELED	27	0000000065.5
15175	ADCRefECo60	25	0000000065.5
15175	ADCRefWLED	28	0000089.7288
15175	ADCRefWCo60	26	0000089.7288
15175	MWPCEy1	67	00000279.004
15175	MWPCEy2	68	00000233.996
15175	MWPCEy3	69	00000311.996
15175	MWPCEy4	70	00000339.009
15175	MWPCEy5	71	00000304.003
15175	MWPCEy6	72	00000279.002
15175	MWPCEy7	73	00000272.996
15175	MWPCEy8	74	000000000290
15175	MWPCEy9	75	00000287.001
15175	MWPCEy10	76	00000246.995
15175	MWPCEy11	77	00000222.001
15175	MWPCEy12	78	00000281.999
15175	MWPCEy13	79	00000319.999
15175	MWPCEy14	80	00000308.004
15175	MWPCEy15	81	00000311.999
15175	MWPCEy16	82	00000258.006
15175	MWPCEx1	51	00000300.004
15175	MWPCEx2	52	00000267.001
15175	MWPCEx3	53	00000316.996
15175	MWPCEx4	54	00000333.995
15175	MWPCEx5	55	000000000409
15175	MWPCEx6	56	00000385.998
15175	MWPCEx7	57	00000375.996
15175	MWPCEx8	58	000000000315
15175	MWPCEx9	59	00000334.002
15175	MWPCEx10	60	00000351.995
15175	MWPCEx11	61	00000322.004
15175	MWPCEx12	62	00000322.009
15175	MWPCEx13	63	00000329.998
15175	MWPCEx14	64	00000345.004
15175	MWPCEx15	65	00000369.996
15175	MWPCEx16	66	00000296.002
15175	MWPCWy1	99	00000285.001
15175	MWPCWy2	100	00000341.005
15175	MWPCWy3	101	00000295.002
15175	MWPCWy4	102	00000305.002
15175	MWPCWy5	103	00000307.001
15175	MWPCWy6	104	00000311.998
15175	MWPCWy7	105	000000000327
15175	MWPCWy8	106	00000328.002
15175	MWPCWy9	107	00000281.004
15175	MWPCWy10	108	00000297.992
15175	MWPCWy11	109	00000283.994
15175	MWPCWy12	110	00000370.997
15175	MWPCWy13	111	00000320.002
15175	MWPCWy14	112	00000291.997
15175	MWPCWy15	113	000000000317
15175	MWPCWy16	114	00000314.998
15175	MWPCWx1	83	00000349.005
15175	MWPCWx2	84	00000276.002
15175	MWPCWx3	85	00000340.002
15175	MWPCWx4	86	00000340.997
15175	MWPCWx5	87	00000303.005
15175	MWPCWx6	88	00000344.992
15175	MWPCWx7	89	00000377.003
15175	MWPCWx8	90	00000299.996
15175	MWPCWx9	91	00000331.004
15175	MWPCWx10	92	00000297.998
15175	MWPCWx11	93	000000000370
15175	MWPCWx12	94	00000314.006
15175	MWPCWx13	95	00000335.993
15175	MWPCWx14	96	00000358.999
15175	MWPCWx15	97	00000303.999
15175	MWPCWx16	98	00000188.002
15175	MWPCAnoE	49	00000125.995
15175	MWPCAnoW	50	00000473.999
