E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.0002783	0.0002756	0.000101	0.0002682	1.578e-05	0.0002632	1.344e-05	0.0002621	8.739e-06	0.0002623	0	0.0002616
2	0.002001	0.0003349	0.0002055	0.0002712	1.322e-05	0.0002624	1.847e-05	0.0002621	0	0.0002618	0	0.0002616
3	0.01392	0.0005495	0.00341	0.0003688	1.816e-05	0.0002625	6.163e-05	0.000266	3.436e-05	0.0002631	5.807e-06	0.0002618
4	0.02171	0.0006258	0.01336	0.0005416	4.338e-05	0.0002635	6.652e-06	0.0002617	0.0003619	0.0002766	0.0001086	0.0002666
5	0.02055	0.0006177	0.01632	0.0005808	4.03e-05	0.0002632	5.254e-05	0.0002635	0.0006277	0.0002845	0.0002828	0.0002716
6	0.01627	0.0005743	0.01448	0.0005579	9.643e-05	0.0002664	8.163e-05	0.0002648	0.0007833	0.000294	0.000609	0.0002839
7	0.01273	0.0005335	0.01157	0.0005169	0.0001615	0.0002686	0.0001069	0.0002654	0.0009877	0.0002998	0.0008263	0.000294
8	0.01167	0.0005152	0.00945	0.0004844	0.0003801	0.0002793	0.0001758	0.0002689	0.0008907	0.000297	0.0007324	0.0002924
9	0.009623	0.0004851	0.009222	0.000482	0.0005644	0.000286	0.0003903	0.0002773	0.0008957	0.0002992	0.0005055	0.0002829
10	0.008951	0.0004783	0.00842	0.0004686	0.0005262	0.0002828	0.00058	0.000284	0.0007577	0.0002923	0.000569	0.0002851
11	0.0078	0.0004577	0.008056	0.0004618	0.0006186	0.0002876	0.0005328	0.0002829	0.0006701	0.0002873	0.000607	0.0002869
12	0.007315	0.0004496	0.007418	0.0004511	0.0006662	0.0002873	0.0005767	0.0002862	0.0006457	0.0002886	0.0004731	0.000282
13	0.006846	0.0004421	0.007007	0.0004432	0.0007857	0.0002944	0.000884	0.0002979	0.0004979	0.0002824	0.0003864	0.0002768
14	0.006437	0.0004317	0.007133	0.0004474	0.0007312	0.0002909	0.0009651	0.0003008	0.0005888	0.0002886	0.0004319	0.0002816
15	0.006405	0.0004339	0.006919	0.0004416	0.0009659	0.0003003	0.0008039	0.0002958	0.0004659	0.0002812	0.0004267	0.0002814
16	0.005894	0.0004223	0.006577	0.0004366	0.0007315	0.0002904	0.0007952	0.0002936	0.0004891	0.0002831	0.0003679	0.0002774
17	0.005408	0.0004124	0.00559	0.0004169	0.0009078	0.0002989	0.0008279	0.0002953	0.0003857	0.0002777	0.0002858	0.0002746
18	0.005799	0.0004216	0.006077	0.0004279	0.0008763	0.0002952	0.0009298	0.0002996	0.0005524	0.0002866	0.0003169	0.0002761
19	0.005237	0.0004095	0.005846	0.0004213	0.000931	0.0003005	0.001132	0.0003063	0.000367	0.0002762	0.0003159	0.0002765
20	0.005375	0.0004121	0.005416	0.0004124	0.0008463	0.0002969	0.000812	0.000291	0.0003145	0.0002758	0.0001697	0.0002684
21	0.005056	0.000405	0.005597	0.0004177	0.0009414	0.0003004	0.001271	0.0003129	0.0002371	0.0002711	0.0002502	0.0002742
22	0.005613	0.0004192	0.005163	0.0004081	0.0008613	0.0002981	0.001051	0.0003044	0.0002506	0.0002728	0.0002346	0.0002706
23	0.005511	0.0004156	0.005687	0.0004207	0.0007756	0.0002935	0.0009107	0.0002983	0.000299	0.0002742	0.0002724	0.0002753
24	0.005624	0.0004179	0.005455	0.0004147	0.0008577	0.0002957	0.00116	0.0003091	0.0003552	0.0002787	0.0001772	0.000269
25	0.006276	0.0004326	0.005764	0.0004222	0.0008531	0.0002959	0.001143	0.0003079	0.0003165	0.0002768	0.0002116	0.0002725
26	0.006076	0.0004288	0.006075	0.0004261	0.0008322	0.0002966	0.001303	0.0003124	0.000189	0.0002693	0.0001428	0.0002675
27	0.006707	0.0004395	0.005913	0.0004243	0.000894	0.0002945	0.001047	0.0003044	0.0002973	0.0002769	0.0001892	0.0002707
28	0.006246	0.0004301	0.006533	0.0004366	0.0009065	0.0002988	0.001044	0.0003049	0.0002886	0.0002739	0.0001502	0.0002675
29	0.006447	0.0004331	0.00693	0.0004441	0.0007327	0.0002906	0.001253	0.0003134	0.0002056	0.0002703	0.0002506	0.0002724
30	0.006466	0.0004345	0.007113	0.0004475	0.0007571	0.0002898	0.001435	0.0003175	0.0002202	0.0002715	0.0001736	0.0002693
31	0.006284	0.0004313	0.006243	0.0004302	0.0008464	0.0002958	0.001199	0.0003084	0.0002612	0.000272	0.0001556	0.0002679
