E bin	Re	Re_er	Rw	Rw_er	Re_1	Re_1er	Rw_1	Rw_1er	Re_2	Re_2er	Rw_2	Rw_2er	
1	0.001021	0.0002939	0.0008962	0.0002844	-6.944e-06	0.0002746	1.635e-05	0.0002738	5.567e-05	0.0002744	2.713e-05	0.0002733
2	0.01531	0.0003959	0.002491	0.0002984	2.594e-06	0.000274	2.588e-05	0.0002738	0.0002763	0.0002761	0.0001209	0.0002742
3	0.1659	0.000835	0.0461	0.0004971	1.754e-05	0.0002742	-3.127e-06	0.000276	0.001337	0.000285	0.0003023	0.0002759
4	0.3679	0.001098	0.2458	0.0009206	-4.991e-06	0.0002754	6.144e-05	0.0002737	0.007821	0.0003216	0.001691	0.000289
5	0.4863	0.001186	0.4038	0.001094	0.000103	0.0002759	0.0001026	0.0002765	0.01757	0.000362	0.009362	0.0003213
6	0.5632	0.001219	0.4779	0.001138	0.00104	0.0002859	0.0007258	0.000282	0.02308	0.0003809	0.01793	0.0003626
7	0.6081	0.001232	0.5215	0.001156	0.004036	0.0003042	0.00311	0.0002969	0.02423	0.0003912	0.02083	0.0003769
8	0.6374	0.001244	0.5454	0.001159	0.008493	0.0003228	0.00698	0.0003123	0.02333	0.0003868	0.02052	0.0003723
9	0.6538	0.001241	0.5607	0.001165	0.01241	0.0003407	0.01067	0.0003303	0.02186	0.0003823	0.01949	0.0003622
10	0.6576	0.001241	0.5671	0.001165	0.01552	0.0003511	0.01433	0.0003515	0.01945	0.0003717	0.01706	0.0003579
11	0.6579	0.001232	0.5663	0.001162	0.01832	0.0003617	0.01649	0.0003543	0.01759	0.0003653	0.01509	0.0003522
12	0.6492	0.001224	0.5578	0.001151	0.02008	0.0003708	0.01837	0.0003613	0.01568	0.000356	0.01337	0.0003423
13	0.6313	0.001204	0.5458	0.001138	0.02096	0.0003744	0.0196	0.0003738	0.01374	0.0003467	0.01201	0.0003362
14	0.6095	0.001186	0.5307	0.001121	0.02202	0.0003776	0.01973	0.0003784	0.01212	0.0003421	0.01049	0.0003318
15	0.5837	0.001162	0.5068	0.001103	0.02091	0.000381	0.02005	0.0003729	0.01094	0.0003367	0.0092	0.0003274
16	0.5492	0.00113	0.4832	0.001077	0.02088	0.0003738	0.01958	0.0003721	0.009315	0.0003308	0.008281	0.0003228
17	0.5167	0.001099	0.455	0.001044	0.01971	0.0003761	0.01886	0.0003714	0.008181	0.0003247	0.007167	0.000317
18	0.4788	0.00107	0.4247	0.001018	0.01864	0.0003746	0.01748	0.0003711	0.007204	0.0003294	0.006417	0.0003164
19	0.4389	0.001026	0.394	0.0009912	0.01729	0.0003682	0.01654	0.0003732	0.006485	0.0003212	0.005389	0.0003126
