Noct	 Runs 	 A 
0	13905-13937	0.0484189	0.00143072
1	13939-13964	0.0496713	0.00170436
2	14077-14100	0.0436409	0.00145532
3	14127-14151	0.0436908	0.00154569
4	14152-14180	0.0462194	0.00160676
5	14182-14205	0.0475264	0.00166498
6	14206-14237	0.0463265	0.00150267
7	14238-14261	0.0455587	0.00123805
8	14356-14380	0.0461172	0.00155846
9	14397-14421	0.0481632	0.00155737
10	14432-14467	0.04603	0.00125304
11	14535-14562	0.0465388	0.00127972
12	14563-14591	0.046647	0.00180305
13	14592-14617	0.0453481	0.00149351
14	14618-14642	0.0483028	0.00122106
15	14643-14667	0.0454576	0.00167374
16	14688-14717	0.0456128	0.00118554
17	14718-14758	0.0471226	0.00127533
18	14759-14782	0.0484987	0.00175146
19	14888-14911	0.0566832	0.00248944
20	14912-14967	0.0444815	0.00175836
21	14968-14994	0.0469036	0.00202601
22	15084-15126	0.0450752	0.00438683
23	15127-15150	0.0446014	0.00333821
24	15172-15211	0.0473495	0.00187222
25	15234-15257	0.0432107	0.00181165
26	15258-15283	0.0457818	0.00213853
27	15285-15296	0.0436734	0.00250084
28	15309-15332	0.0537868	0.00281984
29	15448-15477	0.0466829	0.00283938
30	15488-15511	0.0452245	0.00259468
31	15512-15539	0.0471006	0.00211699
32	15540-15563	0.0501703	0.00235633
33	15564-15590	0.0454095	0.00257839
34	15591-15614	0.0482471	0.00238184
35	15615-15639	0.0427222	0.00238791
36	15667-15690	0.0485695	0.00170002
37	15691-15714	0.0486756	0.00258003
38	15715-15739	0.0463779	0.00203341
39	15740-15763	0.0448434	0.00329438
40	15764-15789	0.0500352	0.0030822
41	15790-15817	0.0457389	0.00187184
42	15818-15841	0.0488337	0.0019981
43	15842-15865	0.0456175	0.00233087
44	15867-15890	0.0489029	0.00428319
45	15891-15915	0.0415544	0.0027589
46	15943-15966	0.13003	0.0063728
